fecha,descripcion
"0000","No aplica"
"0001","enero de 2000"
"0002","febrero de 2000"
"0003","marzo de 2000"
"0004","abril de 2000"
"0005","mayo de 2000"
"0006","junio de 2000"
"0007","julio de 2000"
"0008","agosto de 2000"
"0009","septiembre de 2000"
"0010","octubre de 2000"
"0011","noviembre de 2000"
"0012","diciembre de 2000"
"0101","enero de 2001"
"0102","febrero de 2001"
"0103","marzo de 2001"
"0104","abril de 2001"
"0105","mayo de 2001"
"0106","junio de 2001"
"0107","julio de 2001"
"0108","agosto de 2001"
"0109","septiembre de 2001"
"0110","octubre de 2001"
"0111","noviembre de 2001"
"0112","diciembre de 2001"
"0201","enero de 2002"
"0202","febrero de 2002"
"0203","marzo de 2002"
"0204","abril de 2002"
"0205","mayo de 2002"
"0206","junio de 2002"
"0207","julio de 2002"
"0208","agosto de 2002"
"0209","septiembre de 2002"
"0210","octubre de 2002"
"0211","noviembre de 2002"
"0212","diciembre de 2002"
"0301","enero de 2003"
"0302","febrero de 2003"
"0303","marzo de 2003"
"0304","abril de 2003"
"0305","mayo de 2003"
"0306","junio de 2003"
"0307","julio de 2003"
"0308","agosto de 2003"
"0309","septiembre de 2003"
"0310","octubre de 2003"
"0311","noviembre de 2003"
"0312","diciembre de 2003"
"0401","enero de 2004"
"0402","febrero de 2004"
"0403","marzo de 2004"
"0404","abril de 2004"
"0405","mayo de 2004"
"0406","junio de 2004"
"0407","julio de 2004"
"0408","agosto de 2004"
"0409","septiembre de 2004"
"0410","octubre de 2004"
"0411","noviembre de 2004"
"0412","diciembre de 2004"
"0501","enero de 2005"
"0502","febrero de 2005"
"0503","marzo de 2005"
"0504","abril de 2005"
"0505","mayo de 2005"
"0506","junio de 2005"
"0507","julio de 2005"
"0508","agosto de 2005"
"0509","septiembre de 2005"
"0510","octubre de 2005"
"0511","noviembre de 2005"
"0512","diciembre de 2005"
"0601","enero de 2006"
"0602","febrero de 2006"
"0603","marzo de 2006"
"0604","abril de 2006"
"0605","mayo de 2006"
"0606","junio de 2006"
"0607","julio de 2006"
"0608","agosto de 2006"
"0609","septiembre de 2006"
"0610","octubre de 2006"
"0611","noviembre de 2006"
"0612","diciembre de 2006"
"0701","enero de 2007"
"0702","febrero de 2007"
"0703","marzo de 2007"
"0704","abril de 2007"
"0705","mayo de 2007"
"0706","junio de 2007"
"0707","julio de 2007"
"0708","agosto de 2007"
"0709","septiembre de 2007"
"0710","octubre de 2007"
"0711","noviembre de 2007"
"0712","diciembre de 2007"
"0801","enero de 2008"
"0802","febrero de 2008"
"0803","marzo de 2008"
"0804","abril de 2008"
"0805","mayo de 2008"
"0806","junio de 2008"
"0807","julio de 2008"
"0808","agosto de 2008"
"0809","septiembre de 2008"
"0810","octubre de 2008"
"0811","noviembre de 2008"
"0812","diciembre de 2008"
"0901","enero de 2009"
"0902","febrero de 2009"
"0903","marzo de 2009"
"0904","abril de 2009"
"0905","mayo de 2009"
"0906","junio de 2009"
"0907","julio de 2009"
"0908","agosto de 2009"
"0909","septiembre de 2009"
"0910","octubre de 2009"
"0911","noviembre de 2009"
"0912","diciembre de 2009"
"1001","enero de 2010"
"1002","febrero de 2010"
"1003","marzo de 2010"
"1004","abril de 2010"
"1005","mayo de 2010"
"1006","junio de 2010"
"1007","julio de 2010"
"1008","agosto de 2010"
"1009","septiembre de 2010"
"1010","octubre de 2010"
"1011","noviembre de 2010"
"1012","diciembre de 2010"
"1101","enero de 2011"
"1102","febrero de 2011"
"1103","marzo de 2011"
"1104","abril de 2011"
"1105","mayo de 2011"
"1106","junio de 2011"
"1107","julio de 2011"
"1108","agosto de 2011"
"1109","septiembre de 2011"
"1110","octubre de 2011"
"1111","noviembre de 2011"
"1112","diciembre de 2011"
"1201","enero de 2012"
"1202","febrero de 2012"
"1203","marzo de 2012"
"1204","abril de 2012"
"1205","mayo de 2012"
"1206","junio de 2012"
"1207","julio de 2012"
"1208","agosto de 2012"
"1209","septiembre de 2012"
"1210","octubre de 2012"
"1211","noviembre de 2012"
"1212","diciembre de 2012"
"1301","enero de 2013"
"1302","febrero de 2013"
"1303","marzo de 2013"
"1304","abril de 2013"
"1305","mayo de 2013"
"1306","junio de 2013"
"1307","julio de 2013"
"1308","agosto de 2013"
"1309","septiembre de 2013"
"1310","octubre de 2013"
"1311","noviembre de 2013"
"1312","diciembre de 2013"
"1401","enero de 2014"
"1402","febrero de 2014"
"1403","marzo de 2014"
"1404","abril de 2014"
"1405","mayo de 2014"
"1406","junio de 2014"
"1407","julio de 2014"
"1408","agosto de 2014"
"1409","septiembre de 2014"
"1410","octubre de 2014"
"1411","noviembre de 2014"
"1412","diciembre de 2014"
"1501","enero de 2015"
"1502","febrero de 2015"
"1503","marzo de 2015"
"1504","abril de 2015"
"1505","mayo de 2015"
"1506","junio de 2015"
"1507","julio de 2015"
"1508","agosto de 2015"
"1509","septiembre de 2015"
"1510","octubre de 2015"
"1511","noviembre de 2015"
"1512","diciembre de 2015"
"1601","enero de 2016"
"1602","febrero de 2016"
"1603","marzo de 2016"
"1604","abril de 2016"
"1605","mayo de 2016"
"1606","junio de 2016"
"1607","julio de 2016"
"1608","agosto de 2016"
"1609","septiembre de 2016"
"1610","octubre de 2016"
"1611","noviembre de 2016"
"1612","diciembre de 2016"
"1701","enero de 2017"
"1702","febrero de 2017"
"1703","marzo de 2017"
"1704","abril de 2017"
"1705","mayo de 2017"
"1706","junio de 2017"
"1707","julio de 2017"
"1708","agosto de 2017"
"1709","septiembre de 2017"
"1710","octubre de 2017"
"1711","noviembre de 2017"
"1712","diciembre de 2017"
"1801","enero de 2018"
"1802","febrero de 2018"
"1803","marzo de 2018"
"1804","abril de 2018"
"1805","mayo de 2018"
"1806","junio de 2018"
"1807","julio de 2018"
"1808","agosto de 2018"
"1809","septiembre de 2018"
"1810","octubre de 2018"
"1811","noviembre de 2018"
"1812","diciembre de 2018"
"1901","enero de 2019"
"1902","febrero de 2019"
"1903","marzo de 2019"
"1904","abril de 2019"
"1905","mayo de 2019"
"1906","junio de 2019"
"1907","julio de 2019"
"1908","agosto de 2019"
"1909","septiembre de 2019"
"1910","octubre de 2019"
"1911","noviembre de 2019"
"1912","diciembre de 2019"
"2001","enero de 2020"
"2002","febrero de 2020"
"2003","marzo de 2020"
"2004","abril de 2020"
"2005","mayo de 2020"
"2006","junio de 2020"
"2007","julio de 2020"
"2008","agosto de 2020"
"2009","septiembre de 2020"
"2010","octubre de 2020"
"2011","noviembre de 2020"
"2012","diciembre de 2020"
"2101","enero de 2021"
"2102","febrero de 2021"
"2103","marzo de 2021"
"2104","abril de 2021"
"2105","mayo de 2021"
"2106","junio de 2021"
"2107","julio de 2021"
"2108","agosto de 2021"
"2109","septiembre de 2021"
"2110","octubre de 2021"
"2111","noviembre de 2021"
"2112","diciembre de 2021"
"2201","enero de 2022"
"2202","febrero de 2022"
"2203","marzo de 2022"
"2204","abril de 2022"
"2205","mayo de 2022"
"2206","junio de 2022"
"2207","julio de 2022"
"2208","agosto de 2022"
"2209","septiembre de 2022"
"2210","octubre de 2022"
"2211","noviembre de 2022"
"2212","diciembre de 2022"
"2301","enero de 2023"
"2302","febrero de 2023"
"2303","marzo de 2023"
"2304","abril de 2023"
"2305","mayo de 2023"
"2306","junio de 2023"
"2307","julio de 2023"
"2308","agosto de 2023"
"2309","septiembre de 2023"
"2310","octubre de 2023"
"2311","noviembre de 2023"
"2312","diciembre de 2023"
"2401","enero de 2024"
"2402","febrero de 2024"
"2403","marzo de 2024"
"2404","abril de 2024"
"2405","mayo de 2024"
"2406","junio de 2024"
"2407","julio de 2024"
"2408","agosto de 2024"
"2409","septiembre de 2024"
"2410","octubre de 2024"
"2411","noviembre de 2024"
"2412","diciembre de 2024"
"2501","enero de 2025"
"2502","febrero de 2025"
"2503","marzo de 2025"
"2504","abril de 2025"
"2505","mayo de 2025"
"2506","junio de 2025"
"2507","julio de 2025"
"2508","agosto de 2025"
"2509","septiembre de 2025"
"2510","octubre de 2025"
"2511","noviembre de 2025"
"2512","diciembre de 2025"